,states,x,y
0,Andhra Pradesh,-76.0,-167.0
1,Arunachal Pradesh,268.0,182.0
2,Assam,237.0,138.0
3,Bihar,86.0,113.0
4,Chhattisgarh,-7.0,8.0
5,Goa,-206.0,-163.0
6,Gujarat,-261.0,33.0
7,Haryana,-137.0,189.0
8,Himachal Pradesh,-121.0,272.0
9,Jharkhand,61.0,53.0
10,Karnataka,-155.0,-155.0
11,Kerala,-155.0,-273.0
12,Madhya Pradesh,-98.0,29.0
13,Maharashtra,-173.0,-72.0
14,Manipur,270.0,93.0
15,Meghalaya,211.0,109.0
16,Mizoram,247.0,55.0
17,Nagaland,285.0,133.0
18,Odisha,58.0,-23.0
19,Punjab,-159.0,236.0
20,Rajasthan,-207.0,133.0
21,Sikkim,137.0,157.0
22,Tamil Nadu,-99.0,-269.0
23,Telangana,-83.0,-101.0
24,Tripura,217.0,63.0
25,Uttar Pradesh,-53.0,140.0
26,Uttarakhand,-82.0,222.0
27,West Bengal,121.0,44.0
28,Jammu And Kashmir,-177.0,314.0
29,Ladakh,-131.0,340.0
